id,titre,texte,cta,hashtags,product_slug,source_broll,music_hint,thumb_hint,account_bucket
1,3 applis IA gratuites pour gagner du temps,"Voici 3 applis d’IA 100% gratuites qui m’ont fait gagner 2h/jour : 1) [APP1] résume tes documents, 2) [APP2] écrit tes posts, 3) [APP3] nettoie ton audio. La 2e est sous-cotée…",Tout est regroupé ici (lien en bio) ▶,#ia #productivite #astuces #gratuit,bundle-apps-ia,stock/broll_keyboards.mp4,trend 120-140 BPM,Capture des 3 apps à l’écran + texte gros,trucs-malins
2,2 gadgets Amazon qui explosent en 2025,Gadget 1 : ultra-aimanté pour le bureau. Gadget 2 : lampe LED pliable de poche. Je les ai testés : le 2 me surprend sur l’autonomie.,Liens en bio ▶,#gadget #amazon #tiktokmademebuyit,gadgets-bureau-2025,stock/broll_desk.mp4,lofi upbeat,Main qui ouvre/ferme la lampe LED,gadgets-utiles
3,Top 3 side hustles que tu peux lancer ce soir,"Pas besoin d’argent ni de clients : 1) micro-services IA (15€/tâche), 2) revente eBooks PLR, 3) montage shorts auto. Le 1 est le plus rapide.",Checklist & outils en bio ▶,#argent #sidehustle #business,checklist-sidehustle,stock/broll_notes.mp4,speechy energetic,Liste à puces + timer à l’écran,trucs-malins
4,Le hack Notion qui m’a fait gagner 5h/semaine,"J’ai ajouté une base IA qui : tag automatiquement mes tâches, priorise, et résume la semaine. Bonus : template gratuit dispo.",Template en bio ▶,#notion #productivite #workflow,template-notion-ia,stock/broll_notebook.mp4,chill,Avant/Après tableau Notion,trucs-malins
5,3 prompts pour tripler tes vues sur TikTok,"Copie/colle : 1) Hook choc, 2) Preuve rapide, 3) CTA simple. Exemple : “J’ai testé X pendant 7 jours — voici ce qui marche”.",Prompts en bio ▶,#tiktok #content #growth,prompts-tiktok-views,stock/broll_phone_scroll.mp4,fast beat,Texte animé + gestes mains,trucs-malins
6,2 applis audio gratuites pour un son propre,"App A supprime le bruit en 1 clic, App B égalise ta voix. Résultat : un son ‘studio’ même avec ton téléphone.",Liens des apps en bio ▶,#audio #createurs #ia,apps-audio-gratuites,stock/broll_mic.mp4,ambient,Avant/Après waveform,trucs-malins
7,Gagner 50€ par jour avec des mini-services IA,"Tu proposes : titres YouTube, descriptions produits, résumés d’articles. 10 commandes à 5€ = 50€/jour. Outils & template inclus.",Pack gratuit en bio ▶,##argent #ia #freelance,pack-miniservices-ia,stock/broll_laptop_typing.mp4,motivational,Tableau ‘Commande reçue’ qui pop,trucs-malins
8,"3 applis de focus (zéro pub, gratuites)","Pomodoro + blocage distractions + to-do vocal. J’en ai testé 12, voici le top 3 pour rester concentré.",Liste & liens en bio ▶,#focus #productivite #etudes,apps-focus-top3,stock/broll_coffee_work.mp4,calm,Timer + barre de progression,trucs-malins
9,2 gadgets pas chers qui organisent ton bureau,"Support vertical + passe-câbles silicone : setup propre, zéro câbles en vue. Résultat : espace + calme mental.",Réfs en bio ▶,#setup #bureau #organisation,organiseur-bureau-duo,stock/broll_cable_tidy.mp4,lofi,Avant/Après câbles,gadgets-utiles
10,Le meilleur livre pour choisir ses priorités,La règle 80/20 : 20% d’actions = 80% de résultats. Je l’applique chaque dimanche avec une mini-revue.,Référence en bio ▶,#livres #8020 #mindset,livre-80-20,stock/broll_book_flip.mp4,acoustic,Surlignage + notes,trucs-malins
11,3 extensions Chrome pour bosser 2x plus vite,"1) copier-coller magique, 2) capture texte sur image, 3) résumé vidéo. J’en abuse pour gagner du temps.",Extensions en bio ▶,#chrome #astuces #productivite,extensions-chrome-top3,stock/broll_browser.mp4,upbeat,Zoom curseur sur extension,trucs-malins
12,Hack gratuit pour avoir des miniatures propres,Utilise des templates Canva + 1 filtre cohérent + police lisible. J’ajoute un fond léger pour pop à l’écran.,Templates en bio ▶,#canva #design #youtube,templates-canva-miniatures,stock/broll_canva.mp4,bright,Avant/Après miniature,trucs-malins
13,2 applis de traduction temps réel bluffantes,Parle dans ton tel → ton interlocuteur lit instantanément. Idéal pour freelances & voyages.,Apps en bio ▶,#traduction #ia #voyage,apps-traduction-live,stock/broll_travel.mp4,electro calm,Bulles de chat bilingue,trucs-malins
14,Checklist 7 jours pour lancer un side hustle,Jour 1 : niche. Jour 2 : offre. Jour 3 : contenu. Jour 4 : canal. Jour 5 : process. Jour 6 : vente. Jour 7 : itération.,Checklist en bio ▶,#checklist #business #startup,checklist-7-jours,stock/broll_weekplan.mp4,neutral,Calendrier + checkmarks,trucs-malins
15,3 apps IA pour créer des shorts en auto,Découpe automatique + sous-titres + B-roll. J’en ai testé plusieurs : la 2 est la plus rapide.,Apps en bio ▶,#shorts #ia #montage,apps-shorts-auto,stock/broll_video_editor.mp4,energetic,Timeline qui se remplit,trucs-malins
